ISO3,Country,Region,g_pop,P_concordant_expansion,P_benign_divergence,P_reverse_divergence,P_concordant_contraction,P_pc_gain,P_agg_loss
SLV,El Salvador,Latin America & Caribbean,-0.00292917107889958,0.813,0.051,0.0,0.136,0.864,0.187
AUT,Austria,Europe & Central Asia,-0.002752233678607425,0.972,0.015,0.0,0.013,0.987,0.028
FIN,Finland,Europe & Central Asia,-0.002625876639227528,0.978,0.014,0.0,0.008,0.992,0.022
ARG,Argentina,Latin America & Caribbean,-0.0023383433803795097,0.842,0.064,0.0,0.094,0.906,0.158
DEU,Germany,Europe & Central Asia,-0.002317119613286237,0.973,0.008,0.0,0.019,0.981,0.027
PRT,Portugal,Europe & Central Asia,-0.0022990200414834392,0.968,0.01,0.0,0.022,0.978,0.032
TUN,Tunisia,Middle East & North Africa,-0.001867983450746906,0.95,0.021,0.0,0.029,0.971,0.05
BTN,Bhutan,South Asia,-0.0017979304262801677,0.985,0.011,0.0,0.004,0.996,0.015
RUS,Russian Federation,Europe & Central Asia,-0.001791443709589219,0.982,0.009,0.0,0.009,0.991,0.018
IRN,"Iran, Islamic Rep.",Middle East & North Africa,-0.0017695577950338278,0.932,0.017,0.0,0.051,0.949,0.068
SYC,Seychelles,Sub-Saharan Africa,-0.0015457039745705495,0.856,0.03,0.0,0.114,0.886,0.144
COL,Colombia,Latin America & Caribbean,-0.0015300132551766571,0.861,0.028,0.0,0.111,0.889,0.139
MDV,Maldives,South Asia,-0.001389095608325991,0.981,0.008,0.0,0.011,0.989,0.019
VNM,Viet Nam,East Asia & Pacific,-0.0012686908884816316,0.99,0.003,0.0,0.007,0.993,0.01
MMR,Myanmar,East Asia & Pacific,-0.001224014534933989,0.99,0.002,0.0,0.008,0.992,0.01
LKA,Sri Lanka,South Asia,-0.0011007630603424015,0.989,0.004,0.0,0.007,0.993,0.011
ISL,Iceland,Europe & Central Asia,-0.0010732379279570121,0.969,0.004,0.0,0.027,0.973,0.031
CYP,Cyprus,Europe & Central Asia,-0.0008289166166248644,0.982,0.004,0.0,0.014,0.986,0.018
BEL,Belgium,Europe & Central Asia,-0.0007826944306577328,0.987,0.002,0.0,0.011,0.989,0.013
FJI,Fiji,East Asia & Pacific,-0.0007192434407606443,0.979,0.002,0.0,0.019,0.981,0.021
NLD,Netherlands,Europe & Central Asia,-0.0005311735592178839,0.983,0.002,0.0,0.015,0.985,0.017
AZE,Azerbaijan,Europe & Central Asia,-0.00040755192471529726,0.982,0.002,0.0,0.016,0.984,0.018
NOR,Norway,Europe & Central Asia,-0.0003904263155649124,0.944,0.006,0.0,0.05,0.95,0.056
DNK,Denmark,Europe & Central Asia,-0.0002538084191743623,0.99,0.001,0.0,0.009,0.991,0.01
PHL,Philippines,East Asia & Pacific,-0.00018550635931784172,0.995,0.0,0.0,0.005,0.995,0.005
MAR,Morocco,Middle East & North Africa,-6.81761453671487e-05,0.958,0.0,0.0,0.042,0.958,0.042
MEX,Mexico,Latin America & Caribbean,-6.169737796760202e-05,0.88,0.002,0.0,0.118,0.882,0.12
VEN,"Venezuela, RB",Latin America & Caribbean,-5.802509061181762e-05,0.854,0.003,0.0,0.143,0.857,0.146
BRN,Brunei Darussalam,East Asia & Pacific,5.9155704870787096e-05,0.972,0.0,0.0,0.028,0.972,0.028
IRL,Ireland,Europe & Central Asia,7.764839555348425e-05,0.952,0.0,0.0,0.048,0.952,0.048
DOM,Dominican Republic,Latin America & Caribbean,0.00028176809956395425,0.923,0.0,0.0,0.077,0.923,0.077
CHE,Switzerland,Europe & Central Asia,0.00029768197180287233,0.959,0.0,0.002,0.039,0.959,0.039
FRA,France,Europe & Central Asia,0.00037732675336735666,0.989,0.0,0.001,0.01,0.989,0.01
IND,India,South Asia,0.00048357165651052484,0.997,0.0,0.001,0.002,0.997,0.002
IDN,Indonesia,East Asia & Pacific,0.0005465357471664174,0.996,0.0,0.0,0.004,0.996,0.004
ECU,Ecuador,Latin America & Caribbean,0.0006764157492827223,0.903,0.0,0.012,0.085,0.903,0.085
GUY,Guyana,Latin America & Caribbean,0.0008856415564351946,0.922,0.0,0.012,0.066,0.922,0.066
SWE,Sweden,Europe & Central Asia,0.0009104105937492638,0.984,0.0,0.003,0.013,0.984,0.013
BLZ,Belize,Latin America & Caribbean,0.0009228135498519075,0.924,0.0,0.008,0.068,0.924,0.068
NPL,Nepal,South Asia,0.0009336393135391279,0.986,0.0,0.002,0.012,0.986,0.012
GBR,United Kingdom,Europe & Central Asia,0.0009483748834326445,0.99,0.0,0.002,0.008,0.99,0.008
SWZ,Eswatini,Sub-Saharan Africa,0.0009992206409777677,0.935,0.0,0.014,0.051,0.935,0.051
LUX,Luxembourg,Europe & Central Asia,0.0013893524849924472,0.96,0.0,0.012,0.028,0.96,0.028
NZL,New Zealand,East Asia & Pacific,0.0014294550294342073,0.983,0.0,0.005,0.012,0.983,0.012
PER,Peru,Latin America & Caribbean,0.001435887360563034,0.896,0.0,0.022,0.082,0.896,0.082
SUR,Suriname,Latin America & Caribbean,0.001462290059175028,0.897,0.0,0.021,0.082,0.897,0.082
TON,Tonga,East Asia & Pacific,0.0016252451160123499,0.992,0.0,0.002,0.006,0.992,0.006
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,0.001636003652428086,0.995,0.0,0.002,0.003,0.995,0.003
LAO,Lao PDR,East Asia & Pacific,0.002303357297731328,0.994,0.0,0.002,0.004,0.994,0.004
BGD,Bangladesh,South Asia,0.0024192744620818133,0.982,0.0,0.008,0.01,0.982,0.01
USA,United States,North America,0.0026120390472455907,0.966,0.0,0.017,0.017,0.966,0.017
MYS,Malaysia,East Asia & Pacific,0.002810883812733879,0.994,0.0,0.002,0.004,0.994,0.004
LBN,Lebanon,Middle East & North Africa,0.0028179774583694645,0.958,0.0,0.019,0.023,0.958,0.023
NIC,Nicaragua,Latin America & Caribbean,0.0028850853672521956,0.863,0.0,0.045,0.092,0.863,0.092
HTI,Haiti,Latin America & Caribbean,0.003319756969097304,0.898,0.0,0.041,0.061,0.898,0.061
KHM,Cambodia,East Asia & Pacific,0.003341765650492869,0.992,0.0,0.005,0.003,0.992,0.003
PRY,Paraguay,Latin America & Caribbean,0.003510591310065138,0.921,0.0,0.04,0.039,0.921,0.039
PAN,Panama,Latin America & Caribbean,0.0035296593714432907,0.907,0.0,0.042,0.051,0.907,0.051
LBY,Libya,Middle East & North Africa,0.003707789431548931,0.948,0.0,0.035,0.017,0.948,0.017
TKM,Turkmenistan,Europe & Central Asia,0.0037244925241086122,0.99,0.0,0.005,0.005,0.99,0.005
CAN,Canada,North America,0.003938919810374673,0.955,0.0,0.023,0.022,0.955,0.022
DZA,Algeria,Middle East & North Africa,0.004214249244236407,0.961,0.0,0.02,0.019,0.961,0.019
LSO,Lesotho,Sub-Saharan Africa,0.004374514488417071,0.937,0.0,0.039,0.024,0.937,0.024
GTM,Guatemala,Latin America & Caribbean,0.0045001775133341115,0.915,0.0,0.043,0.042,0.915,0.042
TLS,Timor-Leste,East Asia & Pacific,0.004507748147073438,0.995,0.0,0.005,0.0,0.995,0.0
BOL,Bolivia,Latin America & Caribbean,0.004713300091887258,0.922,0.0,0.047,0.031,0.922,0.031
ZAF,South Africa,Sub-Saharan Africa,0.005100513383199327,0.876,0.0,0.068,0.056,0.876,0.056
BWA,Botswana,Sub-Saharan Africa,0.005525452870264606,0.916,0.0,0.062,0.022,0.916,0.022
HND,Honduras,Latin America & Caribbean,0.005961209606219346,0.929,0.0,0.048,0.023,0.929,0.023
MNG,Mongolia,East Asia & Pacific,0.006085649094744447,0.993,0.0,0.006,0.001,0.993,0.001
AUS,Australia,East Asia & Pacific,0.006307605847916645,0.986,0.0,0.012,0.002,0.986,0.002
KAZ,Kazakhstan,Europe & Central Asia,0.006470284567833515,0.993,0.0,0.005,0.002,0.993,0.002
KIR,Kiribati,East Asia & Pacific,0.006630007311328459,0.994,0.0,0.006,0.0,0.994,0.0
WSM,Samoa,East Asia & Pacific,0.007432974024187753,0.992,0.0,0.008,0.0,0.992,0.0
PNG,Papua New Guinea,East Asia & Pacific,0.007456632690761783,0.994,0.0,0.006,0.0,0.994,0.0
SLE,Sierra Leone,Sub-Saharan Africa,0.008050456235381283,0.927,0.0,0.06,0.013,0.927,0.013
JOR,Jordan,Middle East & North Africa,0.00806379502114093,0.946,0.0,0.051,0.003,0.946,0.003
KEN,Kenya,Sub-Saharan Africa,0.008068629483618129,0.924,0.0,0.063,0.013,0.924,0.013
TJK,Tajikistan,Europe & Central Asia,0.008496885216845163,0.989,0.0,0.01,0.001,0.989,0.001
BHR,Bahrain,Middle East & North Africa,0.008603632082911363,0.944,0.0,0.045,0.011,0.944,0.011
KWT,Kuwait,Middle East & North Africa,0.00875947498585396,0.948,0.0,0.041,0.011,0.948,0.011
NAM,Namibia,Sub-Saharan Africa,0.008763131088077558,0.917,0.0,0.067,0.016,0.917,0.016
GHA,Ghana,Sub-Saharan Africa,0.00886817803106403,0.937,0.0,0.049,0.014,0.937,0.014
PAK,Pakistan,South Asia,0.009340079848749076,0.997,0.0,0.003,0.0,0.997,0.0
UZB,Uzbekistan,Europe & Central Asia,0.009411359796586707,0.984,0.0,0.013,0.003,0.984,0.003
NGA,Nigeria,Sub-Saharan Africa,0.00943849624240861,0.932,0.0,0.063,0.005,0.932,0.005
PSE,West Bank and Gaza,Middle East & North Africa,0.009695757730687857,0.976,0.0,0.023,0.001,0.976,0.001
SAU,Saudi Arabia,Middle East & North Africa,0.009704073106065669,0.958,0.0,0.038,0.004,0.958,0.004
ISR,Israel,Middle East & North Africa,0.009785205476426955,0.982,0.0,0.016,0.002,0.982,0.002
BFA,Burkina Faso,Sub-Saharan Africa,0.009868805925526134,0.947,0.0,0.051,0.002,0.947,0.002
GNB,Guinea-Bissau,Sub-Saharan Africa,0.009883156094660355,0.937,0.0,0.054,0.009,0.937,0.009
GIN,Guinea,Sub-Saharan Africa,0.010189324478265118,0.941,0.0,0.05,0.009,0.941,0.009
IRQ,Iraq,Middle East & North Africa,0.01029059768183427,0.989,0.0,0.011,0.0,0.989,0.0
COM,Comoros,Sub-Saharan Africa,0.010405130484901673,0.927,0.0,0.065,0.008,0.927,0.008
ZWE,Zimbabwe,Sub-Saharan Africa,0.010578138657863044,0.913,0.0,0.075,0.012,0.913,0.012
LBR,Liberia,Sub-Saharan Africa,0.010708167614988493,0.883,0.0,0.102,0.015,0.883,0.015
SLB,Solomon Islands,East Asia & Pacific,0.010712992713101499,0.993,0.0,0.006,0.001,0.993,0.001
STP,Sao Tome and Principe,Sub-Saharan Africa,0.01077050378722811,0.924,0.0,0.065,0.011,0.924,0.011
OMN,Oman,Middle East & North Africa,0.010902295660077421,0.96,0.0,0.034,0.006,0.96,0.006
RWA,Rwanda,Sub-Saharan Africa,0.010955012885027551,0.927,0.0,0.068,0.005,0.927,0.005
ARE,United Arab Emirates,Middle East & North Africa,0.01135381684565757,0.935,0.0,0.06,0.005,0.935,0.005
QAT,Qatar,Middle East & North Africa,0.011440028316485912,0.941,0.0,0.055,0.004,0.941,0.004
UGA,Uganda,Sub-Saharan Africa,0.011606615364390324,0.953,0.0,0.045,0.002,0.953,0.002
SEN,Senegal,Sub-Saharan Africa,0.012270676531295648,0.934,0.0,0.06,0.006,0.934,0.006
GNQ,Equatorial Guinea,Sub-Saharan Africa,0.012791778211179798,0.924,0.0,0.072,0.004,0.924,0.004
MDG,Madagascar,Sub-Saharan Africa,0.012921270421463717,0.906,0.0,0.087,0.007,0.906,0.007
VUT,Vanuatu,East Asia & Pacific,0.012926811395147491,0.992,0.0,0.008,0.0,0.992,0.0
BDI,Burundi,Sub-Saharan Africa,0.01304998720813801,0.948,0.0,0.048,0.004,0.948,0.004
SDN,Sudan,Sub-Saharan Africa,0.013134486939291,0.907,0.0,0.09,0.003,0.907,0.003
GAB,Gabon,Sub-Saharan Africa,0.013161203847549284,0.929,0.0,0.069,0.002,0.929,0.002
MWI,Malawi,Sub-Saharan Africa,0.013219463211397485,0.954,0.0,0.045,0.001,0.954,0.001
BEN,Benin,Sub-Saharan Africa,0.013249217747966618,0.935,0.0,0.063,0.002,0.935,0.002
TGO,Togo,Sub-Saharan Africa,0.013377675060408411,0.949,0.0,0.047,0.004,0.949,0.004
ETH,Ethiopia,Sub-Saharan Africa,0.013459158241970108,0.932,0.0,0.068,0.0,0.932,0.0
MOZ,Mozambique,Sub-Saharan Africa,0.01451244821671221,0.95,0.0,0.049,0.001,0.95,0.001
ZMB,Zambia,Sub-Saharan Africa,0.014563838854827734,0.928,0.0,0.07,0.002,0.928,0.002
CMR,Cameroon,Sub-Saharan Africa,0.014680063721191409,0.935,0.0,0.065,0.0,0.935,0.0
AFG,Afghanistan,South Asia,0.014687260753561642,0.995,0.0,0.005,0.0,0.995,0.0
MLI,Mali,Sub-Saharan Africa,0.015475268394181417,0.954,0.0,0.046,0.0,0.954,0.0
CIV,Cote d'Ivoire,Sub-Saharan Africa,0.015541106056774895,0.938,0.0,0.062,0.0,0.938,0.0
MRT,Mauritania,Sub-Saharan Africa,0.015755293141426326,0.914,0.0,0.082,0.004,0.914,0.004
NER,Niger,Sub-Saharan Africa,0.015945196596216238,0.944,0.0,0.055,0.001,0.944,0.001
TCD,Chad,Sub-Saharan Africa,0.016202887486692467,0.942,0.0,0.056,0.002,0.942,0.002
CAF,Central African Republic,Sub-Saharan Africa,0.016569295695794618,0.913,0.0,0.083,0.004,0.913,0.004
SOM,Somalia,Sub-Saharan Africa,0.016647244895644713,0.942,0.0,0.057,0.001,0.942,0.001
TZA,Tanzania,Sub-Saharan Africa,0.017681760962026907,0.922,0.0,0.076,0.002,0.922,0.002
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,0.01804676979284399,0.908,0.0,0.091,0.001,0.908,0.001
AGO,Angola,Sub-Saharan Africa,0.018110018546841276,0.94,0.0,0.06,0.0,0.94,0.0
